Influencer,videoName,text_text,cluster_label,umap_1,umap_2
0_shufen,0_shufen-20250305064036-1430336078496526,"(1) Functional Text: Subtitles in Traditional Chinese translate the spoken story about having a stomachache and having to work. (2) Decorative/Hook Text: Large white captions appear centrally, such as '今天胃痛的要死' (Stomach hurts like hell today) and '結果呢' (And then what?), used to emphasize the emotional peaks of the story. (3) Sequence Text: Smaller captions detail the timeline: taking medicine, boarding the MRT, and being asked to give up a seat.",4,7.718237,0.696604
0_shufen,0_shufen-20250305064036-766487259340008,"(1) Functional Text: '那天我去相親' (That day I went on a blind date) - Narrative tone. (2) Functional Text: '相親對象人還怪好的嘞' (The blind date partner was quite nice) - Positive tone. (3) Functional Text: '他問我錢夠不夠用' (He asked if I have enough money) - Narrative tone. (4) Functional Text: '不夠的話跟他說' (If not, tell him) - Supportive tone. (5) Functional Text: '他教我省' (He'll teach me how to save) - Humorous/Punchline tone.",0,10.649837,-2.2281325
0_shufen,0_shufen-20250428071951-1947389076163325,"(1) Decorative/Hook Text: ""去國外尋找我的未來老公 因為我在自己的國家找不到 🙄"" (Going abroad to find my future husband because I can't find one in my own country). The text is written in Traditional Chinese and appears as a central caption with a playful and humorous tone.",6,8.917133,-2.223381
0_shufen,0_shufen-20250705165729-1393655405202276,"(1) Functional Text: 我媽叫我過年帶男朋友回家 (My mom told me to bring a boyfriend home for the New Year) - Informative and slightly stressed tone. (2) Functional Text: 我跟她說已經分了💔 (I told her we've already broken up) - Sad tone with a broken heart emoji. (3) Functional Text: 我媽問我為什麼那麼快分?! (My mom asked me why we broke up so soon?!) - Questioning and surprised tone. (4) Functional Text: 我也沒辦法啊, 因為他說我逼太緊 (I couldn't help it, because he said I'm too pushy/tight) - Humorous and suggestive tone.",0,10.685873,-2.2393389
0_shufen,0_shufen-20250724205248-907783428386427,"(1) Hook Text: 'POV：當妳被搭訕到怕了' (POV: When you are afraid of being hit on). This text appears at the top center in white throughout the video, setting a humorous and relatable tone.",6,8.279198,-2.4962199
0_shufen,0_shufen-20250727225336-1259903872723856,"(1) Functional Text: '我後悔了' (I regret it) - Emotional hook. (2) Functional Text: '那天在淡水走到快要餓死' (Walking in Tamsui that day, almost starving) - Context setting. (3) Functional Text: '居然意外好吃欸' (Surprisingly delicious) - Expressing satisfaction. (4) Decorative Text: '風景超美DER~' (The scenery is super beautiful~) - Emphasizing the view. (5) Decorative Text: '有料喔' (It's got good stuff/quality) - Enthusiastic praise. (6) Functional Text: '提拉米蘇... 舒服到爆' (Tiramisu... comfortable/good to the max) - Final dessert reaction. (7) Functional Text: '夕陽灑下來的那個畫面... 我應該傍晚才來的' (That picture of the sunset... I should have come in the evening) - Closing thought.",0,11.0218935,1.8334498
0_shufen,0_shufen-20250828175421-870861292486670,(1) None,3,-3.2879958,7.37137
0_shufen,0_shufen-20250829032918-2798472257172872,"(1) ""哈肉"" (Halo) - Greeting hook. (2) ""妳是台灣人嗎？"" (Are you Taiwanese?) - Functional question. (3) ""是啊 幹嘛？"" (Yes, why?) - Functional response. (4) ""現在我很傷心... 妳可以用 台語 安慰我一下嗎？"" (I'm sad... can you comfort me in Taiwanese?) - Functional setup. (5) ""開心點❤️"" (Be happy) - Decorative/Emotional text. (6) ""暔泥泥你要充三小"" (What on earth are you doing?) - Functional/Humorous slang.",1,11.804272,-1.1292311
0_shufen,0_shufen-20250830020541-1422213052618873,"(1) '戒色第一天' (Day 1 of abstinence) appears at the bottom center in white text. (2) '戒色第二天' (Day 2 of abstinence) appears in the same style. (3) '戒色第三天' (Day 3 of abstinence) appears. (4) '戒色第一天' (Day 1 of abstinence) reappears, serving as a humorous punchline indicating a reset.",6,9.094726,-0.41092643
0_shufen,0_shufen-20250830204134-1142487931145066,"(1) ""哇靠"" (Wow) - Surprised/Hook text. (2) ""在台灣沒有地震"" (In Taiwan, without earthquakes) - Functional subtitle. (3) ""也很容易暈"" (It's also easy to get dizzy/smitten) - Functional subtitle. (4) ""你們知道為什麼嗎?"" (Do you know why?) - Hook text. (5) ""戀愛感"" (Feeling of being in love) - Decorative/Effect text. (6) ""晕车药"" (Motion sickness medicine) - Functional text for the punchline.",1,11.788768,-0.88464296
0_shufen,0_shufen-20250831081007-903878472291382,"(1) '幹' (Functional: Profanity exclamation, tone: Angry/Shocked). (2) '我氣死' (Functional: 'I'm so angry', tone: Frustrated). (3) '剛才曖昧對象 / 嫌棄我身上 / 有孩子氣' (Functional: Narrative setup about a crush complaining she is 'childish', tone: Informative/Annoyed). (4) '明明是他自己 / 的孩子 / 他居然還敢嫌棄' (Functional: Punchline revealing the 'childishness' is actually his child, tone: Humorous/Sarcastic).",1,12.214672,-1.1235172
0_shufen,0_shufen-20250901133301-795960446842082,"(1) Functional Text: Subtitles provided in Traditional Chinese translating the spoken dialogue about the difficulty of ordering breakfast. (2) Decorative/Hook Text: Large bold characters appearing on screen: '台灣人' (Taiwanese people), '吃早餐' (eat breakfast), '可以不看菜單直接講' (can order without looking at the menu), '而我卻像在考學測' (while I am like taking a university entrance exam). (3) Emotional stickers: '痛苦面具' (mask of pain), '难过' (sad), '我哭了' (I cried), '委屈' (aggrieved) along with crying face emojis.",4,7.9129705,0.9774361
