Influencer,videoName,main_purpose,cluster_label,umap_1,umap_2
0_shufen,0_shufen-20250305064036-1430336078496526,To share a personal and vulnerable experience regarding the social pressure of giving up seats on public transport while suffering from an 'invisible' illness. The creator aims to connect with her audience by expressing her frustration and physical discomfort through a first-person narrative.,4,12.944154,3.1854937
0_shufen,0_shufen-20250305064036-766487259340008,To entertain the audience with a humorous short story about a blind date. The content relies on a subverted expectation where a seemingly generous offer ('tell me if you don't have enough money') turns into a joke about being stingy ('I'll teach you how to save').,4,13.226331,3.103335
0_shufen,0_shufen-20250428071951-1947389076163325,"The video serves as a lighthearted social media update. By combining a happy selfie walk at the airport with a humorous caption about seeking a husband abroad, the creator aims to entertain her audience while sharing a moment from her travels.",7,11.56345,5.197155
0_shufen,0_shufen-20250705165729-1393655405202276,"The video uses a relatable social situation—parents pressuring adult children to bring partners home for the holidays—as a setup for a short comedy skit. The ultimate objective is to deliver a pun-based punchline that contrasts the serious, slightly melancholic buildup with a humorous twist.",7,11.854562,6.41268
0_shufen,0_shufen-20250724205248-907783428386427,The video is a humorous social media skit illustrating the 'POV' of a woman who has been approached too many times by strangers in public. It uses the visual of her walking defensively in the rain and her final sassy turnaround to mock the awkwardness or persistence of street 'pick-up' culture while showcasing a stylish urban aesthetic.,7,11.764667,5.9536314
0_shufen,0_shufen-20250727225336-1259903872723856,"The video serves as a lifestyle and food recommendation vlog. It uses a reverse-psychology hook ('I regret it') to draw viewers in, only to reveal that the regret is simply not arriving at the right time to see the sunset, thereby emphasizing how much the creator enjoyed the food and scenery at LA VILLA DAN SHUI.",3,10.20735,4.2935886
0_shufen,0_shufen-20250828175421-870861292486670,To showcase the creator's physical appearance and relaxed vacation aesthetic at a tropical beach location for social media engagement.,5,11.836468,3.505624
0_shufen,0_shufen-20250829032918-2798472257172872,To entertain viewers through a scripted 'random' street encounter that ends in a humorous linguistic punchline involving a switch from Mandarin to a blunt Taiwanese Hokkien phrase.,4,11.7310095,2.6706052
0_shufen,0_shufen-20250830020541-1422213052618873,"The video is a humorous skit parodying the concept of 'abstinence' (likely suggestive in context). It uses a fast-forward narrative to show the protagonist's exaggerated physical decline over three days of trying to abstain, only to hilariously fail and reset to 'Day 1' with renewed vigor, suggesting her inability to maintain the resolution.",7,11.442296,6.260072
0_shufen,0_shufen-20250830204134-1142487931145066,"To entertain the audience with a humorous play on words. The creator uses the double meaning of '晕' (yūn), which means both 'to feel dizzy' and 'to be infatuated/smitten', to compliment Taiwanese men while making a joke about needing motion sickness medicine.",4,11.906459,2.7556138
0_shufen,0_shufen-20250831081007-903878472291382,"To entertain the audience with a humorous short-form skit. The video uses a linguistic pun on the term 'childish' (孩子氣), which literally translates to 'child air/smell'. The creator sets up a scenario where she is offended by a crush's comment, only to subvert expectations by revealing she is pregnant with his child, turning a personality critique into a literal (and absurd) situation.",4,12.431778,4.697177
0_shufen,0_shufen-20250901133301-795960446842082,The video serves as a humorous social observation about the 'daunting' nature of complex breakfast menus in Taiwan for non-locals. It uses the visual metaphor of the creator 'studying' the menu as if for an exam to highlight the contrast between an outsider's struggle and a local's effortless familiarity with the ordering process.,3,8.891509,3.6649163
0_shufen,0_shufen-20250902190256-1774419209918701,"The video is a humorous short-form vlog piece intended to celebrate Taiwan's food culture. By pairing the text hook about mandatory weight gain in Taiwan with the visual of the creator showing off a 'food baby' (puffed-out stomach), it creates a relatable comedic moment for tourists and locals who enjoy Taiwan's famous street food.",3,8.92473,3.6025343
0_shufen,0_shufen-20250903021645-1740247386951366,"The video is a comedic sketch intended to entertain by contrasting a 'gentle' or feminine way of reacting to a cockroach (the 'Red Sister') with the creator's own visceral, aggressive reaction. It plays on social stereotypes of femininity versus reality.",7,11.6931505,6.5918946
0_shufen,0_shufen-20250903023435-2964603773749611,"The video is a humorous short-form comedy sketch designed to subvert viewer expectations. It utilizes a 'bait-and-switch' tactic where the creator uses sad music, pensive visuals, and vulnerable speech to set up a story about social anxiety and heartbreak, only to reveal a punchline where her 'introversion' led her to have a new boyfriend break up with her previous one on her behalf, creating a comedic and ironic twist.",7,11.70658,6.37203
0_shufen,0_shufen-20250903041712-1564497264617068,"This video acts as a highlight reel or 'teaser' for a longer Q&A session. The creator engages her audience by answering specific fan questions in a playful manner, using visual elements like cat ears and heart animations to reinforce a cute, approachable persona. The primary goal is to redirect viewers to her YouTube channel for the full version of the video.",7,11.593264,5.7667017
0_shufen,0_shufen-20250903140356-1918596815532232,"The video serves as a short-form social media clip intended to show the creator's positive and resilient attitude while being in a hospital. By dancing in a hospital gown to upbeat music, the creator communicates a sense of cheerfulness despite the medical setting.",7,12.81358,5.9777803
0_shufen,0_shufen-20250903152847-2677577962592428,"The video is a humorous short clip designed for social media engagement. The creator uses a play on words where she initially seems to be asking for movie recommendations to watch with a boyfriend, but the twist reveals she is actually asking for a boyfriend recommendation instead.",7,11.720901,6.2336864
0_shufen,0_shufen-20250903171136-2160370448111769,To entertain the audience by subverting a typical health advice video format. It starts with a serious warning about using phones before bed but ends with a comedic punchline admitting that the creator's 'symptoms' (drooling) are actually caused by watching attractive men on her screen.,4,13.080556,3.4498982
0_shufen,0_shufen-20250904041023-4261504497398681,"The video is designed to create a romanticized and 'aesthetic' portrayal of a couple's domestic life. By combining bright, intimate close-ups of the female protagonist with moody, stylized shots of the male protagonist walking through a modern apartment, it evokes a sense of high-end lifestyle and visual attraction, heavily relying on rhythmic beat-sync editing to engage the viewer's emotions.",7,12.309828,5.8862724
0_shufen,0_shufen-20250904140410-1447376430235569,"The video's core objective is audience engagement. The creator uses the relatable situation of being sick (a cold) as a humorous hook, inviting viewers to interact in the comments by playfully asking who wants her 'virus'.",7,11.553846,6.060489
0_shufen,0_shufen-20250904152353-729899526658069,The video is intended for entertainment through personal storytelling. The creator shares a humorous and self-deprecating anecdote about an embarrassing encounter at a hair salon to build rapport and engage her social media audience.,7,11.598754,5.9205265
0_shufen,0_shufen-20250904165738-1944821433052326,"To create a short, engaging, and humorous social media snippet. The video uses a common 'question-and-answer' skit format where the woman's response serves as a witty punchline, likely alluding to her attractive appearance or outfit being a 'distraction' or 'opportunity' for others in a public space.",4,12.191082,5.5722256
0_shufen,0_shufen-20250904171517-1196888019196186,To entertain the audience with a 'dirty joke' or 'adult humor' anecdote based on a linguistic misunderstanding between 'kid' (age) and 'kid' (offspring).,4,13.303439,3.1161654
0_shufen,0_shufen-20250904190308-869130576000209,"The video is a short comedy skit or personal anecdote intended to entertain viewers through a play on words. The creator tells a story about a friend who claims to be a vegetarian and finds meat disgusting, only to reveal the friend 'follows' (tracks/is interested in) 'muscular men' (a different kind of 'meat'). The humor relies on the linguistic double entendre and the creator's expressive facial reactions.",7,11.382125,6.2712183
0_shufen,0_shufen-20250904190626-25726444630315954,"To entertain the audience with a short 'cold joke' or pun-based comedy routine, using the creator's personal delivery and expressions to create a humorous effect.",4,13.224065,2.9759293
0_shufen,0_shufen-20250904223800-1589940985582024,"The video is a humorous social commentary piece where the creator shares her personal 'red flags' or 'turn-offs' regarding men's behavior in a dating context. By listing specific points like hygiene and financial expectations (AA/splitting the bill), she aims to spark engagement, agreement, or debate among her audience through a relatable listicle format.",7,11.594946,6.232125
0_shufen,0_shufen-20250905012518-1294397242515994,"The video is a personal vlog/rant aimed at sharing a humorous observation about the creator's social interactions. She describes the annoyance of people constantly questioning her relationship status and the paradoxical reactions she gets regardless of her answer, serving as relatable comedy for her audience.",7,11.482037,6.0921783
0_shufen,0_shufen-20250905070450-1461416632060937,"The video is a short comedic skit designed to subvert viewer expectations. It begins with a sweet, comforting address to the viewer but quickly pivots into a crude, humorous action (the fart SFX) for shock value and entertainment.",7,11.96004,6.761266
0_shufen,0_shufen-20250905152055-3835027656806284,"To entertain the audience with a short, lighthearted joke about how delicious or satisfying Taiwanese breakfast is, using a 'misleading setup' where she claims one shouldn't eat it, only to reveal it makes you smile.",4,11.551511,2.631552
0_shufen,0_shufen-20250905211057-1218230043289605,"The video is a short comedy skit based on a linguistic double entendre. The creator tells a story about expressing a desire to her crush to be 'filled up' (which she implies has a romantic/suggestive meaning). However, the punchline reveals the man interpreted her literally and took her to an all-you-can-eat buffet, leading to her comical disappointment.",7,11.381223,6.24851
0_shufen,0_shufen-20250906073531-1252052250149346,To use humor and drama to highlight the state of being 'extremely independent' or lonely while undergoing surgery. The visuals of the patient getting progressively more exhausted/weak are paired with text-based questions from a nurse that emphasize she has no one to help her.,4,13.056971,3.2279177
0_shufen,0_shufen-20250906090959-1433691898406543,"The video is a short-form comedy vlog aimed at entertaining viewers with a humorous anecdote. The creator describes a blind date experience where a misunderstanding or a double entendre occurs, using the contrast between her directness and the date's odd response to create a joke, emphasized by the final laughter sound effect.",7,11.670158,6.213655
0_shufen,0_shufen-20250906132124-657432210765866,"The video is a humorous and flirtatious short clip intended to engage viewers with a relatable or playful scenario about cheering up a boyfriend. The combination of the 'unhappy boyfriend' text hook, the act of licking ice cream, and the sudden charming smile suggests a playful or provocative solution.",7,11.7081375,6.40244
