influencer,json_name,media_id,is_endorsement,endorsement_method,visual_kmeans_labels,audio_kmeans_labels
0_shufen,0_shufen-20250305064036-1430336078496526,1430336078496526,False,"[""None""]",1,0
0_shufen,0_shufen-20250305064036-766487259340008,766487259340008,False,"[""None""]",1,2
0_shufen,0_shufen-20250428071951-1947389076163325,1947389076163325,False,"[""None""]",1,1
0_shufen,0_shufen-20250705165729-1393655405202276,1393655405202276,False,"[""None""]",1,2
0_shufen,0_shufen-20250724205248-907783428386427,907783428386427,False,"[""None""]",1,1
0_shufen,0_shufen-20250727225336-1259903872723856,1259903872723856,True,"[""Implicit"",""Integrated""]",1,0
0_shufen,0_shufen-20250828175421-870861292486670,870861292486670,False,"[""None""]",2,1
0_shufen,0_shufen-20250829032918-2798472257172872,2798472257172872,False,"[""None""]",1,2
0_shufen,0_shufen-20250830020541-1422213052618873,1422213052618873,False,"[""None""]",2,2
0_shufen,0_shufen-20250830204134-1142487931145066,1142487931145066,False,"[""None""]",1,2
0_shufen,0_shufen-20250831081007-903878472291382,903878472291382,False,"[""None""]",1,2
0_shufen,0_shufen-20250901133301-795960446842082,795960446842082,False,"[""None""]",1,0
0_shufen,0_shufen-20250902190256-1774419209918701,1774419209918701,False,"[""None""]",1,1
0_shufen,0_shufen-20250903021645-1740247386951366,1740247386951366,False,"[""None""]",1,2
0_shufen,0_shufen-20250903023435-2964603773749611,2964603773749611,False,"[""None""]",1,2
0_shufen,0_shufen-20250903041712-1564497264617068,1564497264617068,False,"[""None""]",1,2
0_shufen,0_shufen-20250903140356-1918596815532232,1918596815532232,False,"[""None""]",2,1
0_shufen,0_shufen-20250903152847-2677577962592428,2677577962592428,False,"[""None""]",1,2
0_shufen,0_shufen-20250903171136-2160370448111769,2160370448111769,False,"[""None""]",1,
0_shufen,0_shufen-20250904041023-4261504497398681,4261504497398681,False,"[""None""]",2,1
0_shufen,0_shufen-20250904140410-1447376430235569,1447376430235569,False,"[""None""]",2,2
0_shufen,0_shufen-20250904152353-729899526658069,729899526658069,False,"[""None""]",1,2
0_shufen,0_shufen-20250904165738-1944821433052326,1944821433052326,False,"[""None""]",1,2
0_shufen,0_shufen-20250904171517-1196888019196186,1196888019196186,False,"[""None""]",1,2
0_shufen,0_shufen-20250904190308-869130576000209,869130576000209,False,"[""None""]",1,2
0_shufen,0_shufen-20250904190626-25726444630315954,25726444630315954,False,"[""None""]",1,2
0_shufen,0_shufen-20250904223800-1589940985582024,1589940985582024,False,"[""None""]",1,2
0_shufen,0_shufen-20250905012518-1294397242515994,1294397242515994,False,"[""None""]",1,2
0_shufen,0_shufen-20250905070450-1461416632060937,1461416632060937,False,"[""None""]",2,2
0_shufen,0_shufen-20250905152055-3835027656806284,3835027656806284,False,"[""None""]",1,0
0_shufen,0_shufen-20250905211057-1218230043289605,1218230043289605,False,"[""None""]",1,2
0_shufen,0_shufen-20250906073531-1252052250149346,1252052250149346,False,"[""None""]",1,1
0_shufen,0_shufen-20250906090959-1433691898406543,1433691898406543,False,"[""None""]",1,2
0_shufen,0_shufen-20250906132124-657432210765866,657432210765866,False,"[""None""]",2,1
0_shufen,0_shufen-20250906143729-1591259341910534,1591259341910534,False,"[""None""]",1,0
0_shufen,0_shufen-20250906174039-894684720405347,894684720405347,False,"[""None""]",1,0
0_shufen,0_shufen-20250906191843-1654263582228894,1654263582228894,False,"[""None""]",1,0
0_shufen,0_shufen-20250907041415-776152268880837,776152268880837,False,"[""None""]",1,2
0_shufen,0_shufen-20250907052618-917708198102607,917708198102607,False,"[""None""]",2,1
0_shufen,0_shufen-20250909231624-918933700645823,918933700645823,False,"[""None""]",1,1
0_shufen,0_shufen-20250910042300-4565964073636444,4565964073636444,False,"[""None""]",1,0
0_shufen,0_shufen-20250910071400-935239535830022,935239535830022,False,"[""None""]",1,0
0_shufen,0_shufen-20250910134014-1227562825418616,1227562825418616,False,"[""None""]",2,1
0_shufen,0_shufen-20250910162646-1552439516047192,1552439516047192,False,"[""None""]",1,2
0_shufen,0_shufen-20250910181906-1712588466381954,1712588466381954,False,"[""None""]",1,2
0_shufen,0_shufen-20250910193009-1825911321439722,1825911321439722,False,"[""None""]",2,1
0_shufen,0_shufen-20250910221808-752521324184106,752521324184106,False,"[""None""]",2,1
0_shufen,0_shufen-20250910221900-1827059617975966,1827059617975966,False,"[""None""]",1,2
0_shufen,0_shufen-20250911084048-896432156127037,896432156127037,False,"[""None""]",2,2
0_shufen,0_shufen-20250911095903-4260731734242856,4260731734242856,False,"[""None""]",1,1
0_shufen,0_shufen-20250912002603-1449114766806030,1449114766806030,False,"[""None""]",1,0
