Influencer,videoName,visual_text,cluster_label,umap_1,umap_2
0_shufen,0_shufen-20250305064036-1430336078496526,"(1) A young woman with long dark hair and a large black bow is lying down on a bed, looking directly at the camera with a tired and pained expression. (2) As she narrates her story, her facial expressions shift between discomfort and mild frustration, though she remains in the same lying position. (3) The scene stays static throughout the entire video, focusing on her upper body and face as she continues to recount her experience.",1,13.686762,7.5664053
0_shufen,0_shufen-20250305064036-766487259340008,"(1) A young woman with long dark hair and a purple top is standing in what appears to be a hotel bathroom, looking directly at the camera and speaking. (2) She maintains a friendly facial expression, gesturing slightly with her hand toward her chest as she continues her story. (3) The scene remains static as she finishes her anecdote with a knowing smile toward the viewer.",1,13.315108,7.888812
0_shufen,0_shufen-20250428071951-1947389076163325,"(1) The video is a live-action selfie shot. A young woman with long black hair, wearing a pink zip-up jacket and a light blue top, smiles at the camera inside an airport boarding bridge. (2) She begins walking forward along the glass-walled corridor, while the camera follows her face. Outside the window, a large commercial airplane with green and orange tail markings is parked on the tarmac. (3) She continues walking with a happy expression, passing a male traveler carrying a bag in the blurred background.",1,12.221769,6.9639034
0_shufen,0_shufen-20250705165729-1393655405202276,"(1) A young woman with long black hair and a light purple top looks directly into the camera lens with a pouting expression. (2) She begins to speak, her facial expressions changing as she tells a story, appearing slightly exasperated. (3) She uses her right hand to gesture while speaking. (4) The video cuts to a black screen as the punchline concludes.",1,13.383109,8.095022
0_shufen,0_shufen-20250724205248-907783428386427,"(1) The video opens with a young woman walking away from the camera on a wet city sidewalk at night during rainfall. She is wearing a black hooded jacket and a short skirt, carrying several orange and light blue shopping bags. (2) As she walks, she frequently glances over her shoulder with a suspicious expression, her movements appearing guarded. (3) She suddenly stops and turns around completely to face the camera with an exaggerated, sassy pose—hands on her hips and a playful yet defiant facial expression, while the camera maintains a following distance.",5,11.645884,6.2261553
0_shufen,0_shufen-20250727225336-1259903872723856,"(1) The video opens with a shot of the exterior of 'LA VILLA' restaurant. (2) It transitions to scenic views of the Tamsui River and the Lover's Bridge. (3) A young woman is shown eating truffle pasta inside the restaurant, with shots of her smiling and taking a bite. (4) Various food items are showcased in close-up: mushroom soup, a bun being torn apart, fried chicken wings, more pasta, and finally a tiramisu cake. (5) The woman is seen again, nodding in satisfaction while eating. (6) The video ends with a panoramic view of the riverfront and the bridge under a bright blue sky.",4,10.463105,6.9300227
0_shufen,0_shufen-20250828175421-870861292486670,"(1) The video starts with a young woman with long dark hair, wearing a black bikini top and white pants, looking down and smiling in a selfie POV. (2) She tilts her head and looks toward the camera while moving slightly, revealing a sandy beach background with palm trees and distant beach structures. (3) She continues to smile and pose gently as the camera moves with her body in a continuous shot.",1,11.990225,6.4648323
0_shufen,0_shufen-20250829032918-2798472257172872,"(1) A young woman with long dark hair, wearing a black mask and a revealing beige top under a black jacket, stands on a city sidewalk at night with buildings in the background. (2) She looks slightly away then back at the camera as if listening to someone off-camera, maintaining a questioning facial expression. (3) She leans closer to the camera and speaks, ending with a slight head tilt and a zoom-in effect on her face.",1,12.842906,8.16795
0_shufen,0_shufen-20250830020541-1422213052618873,"(1) A young woman with a ponytail, wearing a black zip-up jacket over a blue sports top, looks confidently at the camera and holds up one finger. (2) She appears wrapped in a cartoon-patterned blanket, looking visibly exhausted and sickly with dark circles under her eyes, holding up two fingers. (3) She is wearing a shiny white jacket, looking even more drained and pale, holding up three fingers in a weak 'OK' sign. (4) The scene cuts back to her in the original black jacket, looking refreshed and energized; she holds up one finger, smiles, and begins to unzip her jacket while lunging toward the camera.",1,13.157912,7.6747427
0_shufen,0_shufen-20250830204134-1142487931145066,"(1) A young woman with long dark hair is lying on a bed with a green pillow. She is wearing a bikini top with a leaf pattern and has a rabbit-ear filter and pink blush stickers on her face. She looks directly into the lens. (2) As she speaks, her facial expressions change slightly to emphasize her words, and a small wireless microphone is visible clipped to the left side of her bikini. (3) The camera remains static throughout the video, focusing on her upper body and face as she delivers her monologue.",1,13.689603,7.575277
0_shufen,0_shufen-20250831081007-903878472291382,"(1) A young woman with long dark hair and a black spaghetti strap dress faces the camera with an annoyed expression, looking slightly downward then directly at the lens. (2) She begins speaking, her mouth moving emphatically while her eyebrows furrow to convey frustration. (3) As she delivers the final part of her speech, her expression softens slightly and she maintains a steady gaze at the camera until the video ends.",1,13.46004,8.063746
0_shufen,0_shufen-20250901133301-795960446842082,"(1) A young woman with long dark hair and glasses sits at a green table in a breakfast shop, holding a pen and looking intensely at a large, multi-colored menu. (2) She begins to circle items on the menu while looking stressed. (3) Animated crying stickers and variety-show style text appear around her face as she continues to study the menu like a test paper.",1,10.023555,8.723154
0_shufen,0_shufen-20250902190256-1774419209918701,"(1) A young woman with long dark hair and bangs stands in an outdoor corridor at night, wearing a large black jacket and short pleated skirt. She smiles down at her belly, which she is pushing out while holding it with both hands. (2) She continues to pat and rub her stomach playfully while smiling towards the camera. The setting is a modern tiled corridor with warm artificial lighting from the building interior visible in the background.",1,12.945004,7.725182
0_shufen,0_shufen-20250903021645-1740247386951366,"(1) A woman with long dark hair, wearing a black spaghetti strap top, lies on a bed with blue sheets and looks into the camera with a smiling, talkative expression. (2) The scene cuts to a full-body shot of a woman in a kitchen/bedroom setting wearing a mask, a floral shirt, and a long dark skirt; she points at the floor and reacts with soft gestures while pink hearts appear on screen. (3) The video cuts to a POV shot of the first woman looking down at a yoga mat, her expression turning into one of shock and disgust as she moves quickly.",1,13.457824,7.0910892
0_shufen,0_shufen-20250903023435-2964603773749611,"(1) The video begins with a close-up shot of a young woman with long dark hair, wearing a light blue top and a black cardigan, looking directly at the camera with a pensive and slightly sad facial expression. (2) She raises both hands to her head to adjust her hair and pull it back into a ponytail, at which point the camera suddenly zooms in closer to her face. (3) She continues her hair-tying gesture while looking upwards; during this phase, animated blue tear stickers appear on her cheeks. (4) She completes the hair adjustment, lowers her hands, and looks slightly to the side with a subtle smirk as the scene concludes.",5,11.616697,6.3935885
0_shufen,0_shufen-20250903041712-1564497264617068,"(1) The video starts with a young woman wearing a black cat-ear headband, sitting indoors and looking at a purple smartphone. Above her, there is a title block about a fan Q&A. (2) She looks up at the camera and begins speaking, gesturing with her right hand while maintaining a playful and smiling facial expression. Animated pink hearts begin to float around her. (3) A small image of an owl/hawk is superimposed on the screen briefly as she continues to talk and look at her phone for the next question. (4) She concludes by waving her hand towards the camera, maintaining a friendly expression as the video loops.",5,11.55658,6.353813
0_shufen,0_shufen-20250903140356-1918596815532232,"(1) The video starts with a young woman with long dark hair, wearing a peach-colored oversized hospital gown and a digital pink bow sticker, standing in a brightly lit hospital room. (2) She begins a rhythmic dance movement, swaying her body from side to side and smiling warmly at the camera. (3) She continues the gentle dance sequence, maintaining eye contact and a cheerful facial expression until the end of the clip.",5,12.100899,6.363813
0_shufen,0_shufen-20250903152847-2677577962592428,"(1) A young woman with long dark hair, wearing a pink camisole, sits in front of a camera in an indoor setting. She has a subtle pouting expression and looks slightly down. (2) She begins to speak directly to the camera, her expressions shifting between thoughtful, slightly expectant, and then smiling. (3) She leans in closer to the camera towards the end, maintaining eye contact and a playful expression.",1,13.367844,7.8889794
0_shufen,0_shufen-20250903171136-2160370448111769,"(1) A young woman with long dark hair wearing a white camisole and heavy makeup speaks directly into the camera in a close-up POV style. She uses expressive hand gestures and varied facial expressions, ranging from serious to playfully dramatic. (2) The camera periodically zooms in slightly to emphasize her points as she speaks. (3) In the final phase, a comedic 'sad' filter is applied, showing blue animated tears streaming from her eyes and a comic-style background overlay with '5555' (crying) symbols.",1,13.468272,8.068108
0_shufen,0_shufen-20250904041023-4261504497398681,"(1) The video begins with a close-up of a young woman with long black hair looking directly at the camera; a hand enters the frame from the top right and briefly touches her hair. (2) The scene cuts to a medium-wide shot of a modern bedroom where a man in a dark blue bathrobe walks away from the bed towards a glass-doored closet. (3) It cuts back to the woman in a close-up, now smiling broadly and showing her teeth. (4) The lighting becomes significantly darker as the video cycles through several quick cuts showing the man in the robe walking in a dimly lit hallway or room, focusing on his torso and movement.",5,11.924767,5.6563587
0_shufen,0_shufen-20250904140410-1447376430235569,"(1) A young woman with long black hair, wearing a pink sequined top, appears in a close-up shot. She covers her mouth with her hand and appears to be coughing while looking at the camera. (2) She looks slightly down and then back at the lens, speaking while pointing her finger downwards. (3) She continues to cough, displaying a mix of a distressed and playful expression, and continues looking directly at the viewer until the end of the clip.",1,13.407345,8.019638
0_shufen,0_shufen-20250904152353-729899526658069,"(1) The video is a live-action recording of a young woman with long dark hair, wearing a pink camisole and a cream lace cardigan, smiling and talking directly to the camera. (2) As she speaks, the camera digitally zooms in closer to her face, capturing her expressive smiles and wide-eyed looks of feigned embarrassment. (3) The shot remains centered on her face and upper chest throughout the duration, with her occasionally glancing off-camera as if recounting a funny memory.",5,11.693529,6.4826293
0_shufen,0_shufen-20250904165738-1944821433052326,"(1) A young woman with long dark hair, wearing sunglasses on her head and a low-cut black top, stands in front of a convenience store shelf stocked with canned alcoholic beverages. (2) She glances at the shelf while an off-camera person initiates a conversation. (3) She turns her head slightly towards the camera, looks down at a green can of beverage she is holding, and smiles subtly as she speaks.",1,8.228687,7.937025
0_shufen,0_shufen-20250904171517-1196888019196186,"(1) A young woman with long dark hair and heavy makeup, wearing a brown spaghetti strap top, faces the camera directly and begins speaking with a slight smile. (2) As she continues her story, she gestures slightly with her head and looks away momentarily to emphasize her narrative. (3) Upon reaching the punchline, she opens her eyes wide in a shocked or stunned expression as cartoon question mark graphics appear around her.",1,13.526645,8.1568775
0_shufen,0_shufen-20250904190308-869130576000209,"(1) A young woman with long dark hair, wearing a black sports bra, is positioned in a close-up shot against a bedroom background. She starts with a slightly furrowed brow and a pouting expression. (2) As she speaks, her facial expressions become more animated, moving from a complaining look to one of wide-eyed disbelief. (3) The video ends with her maintaining a playful, shocked facial expression while looking directly at the camera.",1,13.415783,7.9016466
0_shufen,0_shufen-20250904190626-25726444630315954,"(1) A young woman with long, wavy dark hair and a brown spaghetti strap top is sitting in front of a plain, light-colored wall. She initially looks directly at the camera with a neutral to slightly sad expression. (2) As she speaks, her eyebrows lift and her facial expressions become more animated to match her storytelling. (3) At the conclusion of her story, she looks slightly to the side with a faint, ironic smile, maintaining her position throughout the video without significant body movement.",1,13.476125,8.100151
0_shufen,0_shufen-20250904223800-1589940985582024,"(1) The video features a young woman with long dark hair, wearing a white spaghetti strap top, positioned in a static medium close-up shot against a plain light wall. (2) She begins by looking into the camera, then raises her right index finger to emphasize the first point. (3) She briefly touches the side of her nose with her finger as she transitions to the second point. (4) She uses open-hand gestures while explaining the third point before the screen transitions to a solid black frame.",5,11.760571,6.433487
0_shufen,0_shufen-20250905012518-1294397242515994,"(1) A young woman with long dark brown hair, wearing a black bra or tank top, is framed in a close-up selfie shot. She looks directly at the camera with an expressive and slightly annoyed facial expression. (2) As she speaks, she shifts her gaze, gestures by tossing her hair back with her hand, and emphasizes her points with subtle head tilts. (3) The background is a soft-focus indoor environment, possibly a bedroom or hotel room with beige walls and a bed, which remains static throughout the clip.",1,13.407621,7.7833776
0_shufen,0_shufen-20250905070450-1461416632060937,"(1) A young woman with long dark hair, wearing a pink scoop-neck top, a black skirt, and a white crocheted cardigan, stands in front of a neutral indoor wall, looking directly at the camera with a cheerful expression and speaking. (2) She leans forward slightly towards the lens, maintaining eye contact and a playful smile. (3) She suddenly turns her body away and bends over, causing her skirt to lift, while the camera angle shifts to a lower perspective focusing on the movement and her black undergarments.",1,13.2373705,7.6673007
0_shufen,0_shufen-20250905152055-3835027656806284,"(1) A young woman with long dark hair and sunglasses on her head is looking down and writing on a yellow menu with a red clipboard. (2) The scene cuts to her biting into a large sandwich or burger, then a close-up shot of the layered sandwich is shown. (3) She is seen drinking from a paper cup and then looks directly into the camera, smiling and laughing while gesturing towards a plate of egg pancake and the sandwich on the table.",1,10.050905,8.688905
0_shufen,0_shufen-20250905211057-1218230043289605,"(1) A young woman with long dark hair and heavy makeup, wearing a beige slip dress, sits indoors against a plain wall and speaks directly to the camera. (2) She smiles and looks slightly away before returning her gaze to the camera, with pink heart stickers appearing around her head. (3) The camera cuts to a closer shot as she laughs broadly. (4) The scene cuts back to the original framing as she looks disappointed and confused, with a question mark and thought bubble graphics appearing near her face.",1,13.507717,8.00854
0_shufen,0_shufen-20250906073531-1252052250149346,"(1) A woman wearing a peach-colored hospital gown and a cartoon pink bow filter on her head stands in a hospital room, looking slightly worried. (2) She appears to be knocked back or falling into a chair as the scene cuts. (3) She is sitting in a chair beside a medical cabinet, looking exhausted and leaning back. (4) She is shown sitting on a hospital bed looking towards a window, then finally lying flat on the hospital bed as the video ends.",1,13.588392,7.3743134
